Accession,locus_tag,combined_genome_count,number_of_clades_detected,representative_Accession,representative_coverage
VFG019980(gb|WP_003115517),PA2191,10877,2,VFG015170(gb|WP_011666674),10908
VFG015916(gb|WP_003089025),PA2193,10545,2,VFG015914(gb|NP_250883),10545
VFG015915(gb|WP_012075862),PA2193,4,2,VFG015914(gb|NP_250883),10545
VFG015922(gb|WP_009315733),PA2194,11332,2,VFG015920(gb|NP_250884),11332
VFG020049(gb|WP_003113685),PA2194,11332,2,VFG015920(gb|NP_250884),11332
VFG015921(gb|WP_012075861),PA2194,1,1,VFG015920(gb|NP_250884),11332
VFG015928(gb|WP_011666673),PA2195,11330,2,VFG015926(gb|NP_250885),11330
VFG015927(gb|WP_012075860),PA2195,1,1,VFG015926(gb|NP_250885),11330
VFG051601(gb|WP_012614152.1),PA2360,11490,2,VFG041032(gb|NP_251050),11490
VFG051602(gb|WP_012075693.1),PA2360,11490,2,VFG041032(gb|NP_251050),11490
VFG051604(gb|WP_003139323.1),PA2360,11490,2,VFG041032(gb|NP_251050),11490
VFG051606(gb|WP_012614151.1),PA2361,11503,2,VFG041033(gb|NP_251051),11503
VFG051607(gb|WP_012075692.1),PA2361,11503,2,VFG041033(gb|NP_251051),11503
VFG051609(gb|WP_003139320.1),PA2361,11503,2,VFG041033(gb|NP_251051),11503
VFG041034(gb|NP_251052),PA2362,10769,2,VFG051614(gb|WP_003131567.1),10770
VFG051611(gb|WP_003104706.1),PA2362,10769,2,VFG051614(gb|WP_003131567.1),10770
VFG051612(gb|WP_012075691.1),PA2362,10766,2,VFG051614(gb|WP_003131567.1),10770
VFG051616(gb|WP_003122697.1),PA2363,11499,2,VFG041035(gb|NP_251053),11499
VFG051617(gb|WP_041025349.1),PA2363,11499,2,VFG041035(gb|NP_251053),11499
VFG051619(gb|WP_003139318.1),PA2363,11499,2,VFG041035(gb|NP_251053),11499
VFG051626(gb|WP_003089494.1),PA2366,11501,2,VFG041038(gb|NP_251056),11501
VFG051627(gb|WP_003089494.1),PA2366,11501,2,VFG041038(gb|NP_251056),11501
VFG051629(gb|WP_003139317.1),PA2366,11501,2,VFG041038(gb|NP_251056),11501
VFG051631(gb|WP_003089495.1),PA2367,10732,2,VFG041039(gb|NP_251057),10732
VFG051632(gb|WP_003089495.1),PA2367,10732,2,VFG041039(gb|NP_251057),10732
VFG051634(gb|WP_003089495.1),PA2367,10732,2,VFG041039(gb|NP_251057),10732
VFG051637(gb|WP_012075688.1),PA2368,10729,2,VFG051636(gb|WP_012614150.1),10729
VFG041040(gb|NP_251058),PA2368,10728,2,VFG051636(gb|WP_012614150.1),10729
VFG051639(gb|WP_003089496.1),PA2368,10728,2,VFG051636(gb|WP_012614150.1),10729
VFG051641(gb|WP_012614149.1),PA2369,11486,2,VFG041041(gb|NP_251059),11486
VFG051642(gb|WP_012075687.1),PA2369,11486,2,VFG041041(gb|NP_251059),11486
VFG051644(gb|WP_003089497.1),PA2369,11486,2,VFG041041(gb|NP_251059),11486
VFG051646(gb|WP_003114517.1),PA2370,11344,2,VFG041042(gb|NP_251060),11358
VFG051649(gb|WP_003139313.1),PA2370,11315,2,VFG041042(gb|NP_251060),11358
VFG051647(gb|WP_012075686.1),PA2370,11259,2,VFG041042(gb|NP_251060),11358
VFG051651(gb|WP_012614148.1),PA2371,11515,2,VFG041043(gb|NP_251061),11515
VFG051654(gb|WP_003139311.1),PA2371,11515,2,VFG041043(gb|NP_251061),11515
VFG051652(gb|WP_012075685.1),PA2371,11389,2,VFG041043(gb|NP_251061),11515
VFG051659(gb|WP_003139309.1),PA2373,8410,2,VFG051656(gb|WP_012614145.1),8412
VFG041045(gb|NP_251063),PA2373,8394,2,VFG051656(gb|WP_012614145.1),8412
VFG051657(gb|WP_012075684.1),PA2373,145,2,VFG051656(gb|WP_012614145.1),8412
VFG015952(gb|WP_003139299),PA2385,11485,2,VFG015950(gb|NP_251075),11485
VFG020051(gb|WP_003103624),PA2385,11485,2,VFG015950(gb|NP_251075),11485
VFG015951(gb|WP_041025346),PA2385,14,2,VFG015950(gb|NP_251075),11485
VFG020053(gb|WP_003103622),PA2386,6612,2,VFG000159(gb|NP_251076),6612
VFG015963(gb|WP_003114509),PA2386,6611,2,VFG000159(gb|NP_251076),6612
VFG015962(gb|WP_012075675),PA2386,4877,2,VFG000159(gb|NP_251076),6612
VFG015973(gb|NP_251082),PA2392,4175,2,VFG015974(gb|WP_041025344),4890
VFG015975(gb|WP_003139293),PA2392,4175,2,VFG015974(gb|WP_041025344),4890
VFG020055(gb|WP_024082546),PA2392,2428,2,VFG015974(gb|WP_041025344),4890
VFG015983(gb|NP_251083),PA2393,5477,2,VFG015985(gb|WP_003103610),5484
VFG015984(gb|WP_012075668),PA2393,3897,2,VFG015985(gb|WP_003103610),5484
VFG020057(gb|WP_012614138),PA2393,2418,2,VFG015985(gb|WP_003103610),5484
VFG015994(gb|NP_251084),PA2394,9071,2,VFG015996(gb|WP_003122677),9072
VFG015995(gb|WP_003148549),PA2394,9069,2,VFG015996(gb|WP_003122677),9072
VFG020059(gb|WP_012614137),PA2394,2527,2,VFG015996(gb|WP_003122677),9072
VFG016005(gb|NP_251085),PA2395,10767,2,VFG020061(gb|WP_012614136),10768
VFG016007(gb|WP_003139292),PA2395,10767,2,VFG020061(gb|WP_012614136),10768
VFG016006(gb|WP_012075667),PA2395,10766,2,VFG020061(gb|WP_012614136),10768
VFG016016(gb|NP_251086),PA2396,3757,2,VFG016017(gb|WP_003148547),4739
VFG016018(gb|WP_003114501),PA2396,3757,2,VFG016017(gb|WP_003148547),4739
VFG020063(gb|WP_012614135),PA2396,2268,2,VFG016017(gb|WP_003148547),4739
VFG016022(gb|WP_003103601),PA2397,4031,2,VFG000160(gb|NP_251087),4031
VFG016095(gb|WP_003139291),PA2398,4030,2,VFG000163(gb|NP_251088),4030
VFG016032(gb|WP_011666646),PA2399,4036,2,VFG000161(gb|NP_251089),4037
VFG016040(gb|WP_078463717),PA2400,4051,2,VFG016038(gb|NP_251090),4051
VFG016041(gb|NP_251092),PA2402,8128,2,VFG016043(gb|WP_011666644),9004
VFG016046(gb|NP_251103),PA2413,11493,2,VFG016048(gb|WP_003089638),11494
VFG020072(gb|WP_012614127),PA2413,11493,2,VFG016048(gb|WP_003089638),11494
VFG016047(gb|WP_012075653),PA2413,5093,2,VFG016048(gb|WP_003089638),11494
VFG016060(gb|WP_003139218),PA2424,11578,2,VFG016058(gb|NP_251114),11578
VFG020074(gb|WP_012614121),PA2424,11578,2,VFG016058(gb|NP_251114),11578
VFG016059(gb|WP_012075639),PA2424,11522,2,VFG016058(gb|NP_251114),11578
VFG016069(gb|NP_251115),PA2425,10780,2,VFG020076(gb|WP_003116905),10781
VFG016071(gb|WP_003139216),PA2425,10778,2,VFG020076(gb|WP_003116905),10781
VFG016070(gb|WP_012075638),PA2425,1,1,VFG020076(gb|WP_003116905),10781
VFG000162(gb|NP_251116),PA2426,10749,2,VFG016077(gb|WP_003113068),10750
VFG016076(gb|WP_003156700),PA2426,8778,2,VFG016077(gb|WP_003113068),10750
VFG016089(gb|WP_003139215),PA2427,6039,2,VFG016087(gb|NP_251117),6039
VFG020080(gb|WP_012614120),PA2427,6039,2,VFG016087(gb|NP_251117),6039
VFG015082(gb|WP_003090351),PA2586,10834,2,VFG015080(gb|NP_251276),10834
VFG019943(gb|WP_003090351),PA2586,10834,2,VFG015080(gb|NP_251276),10834
VFG015081(gb|WP_003090351),PA2586,10801,2,VFG015080(gb|NP_251276),10834
VFG051830(gb|WP_012613984.1),PA2684,11570,2,VFG051484(gb|NP_251374.1),11570
VFG051833(gb|WP_003138894.1),PA2684,11570,2,VFG051484(gb|NP_251374.1),11570
VFG051831(gb|WP_012076472.1),PA2684,2,2,VFG051484(gb|NP_251374.1),11570
VFG051814(gb|WP_003119469.1),PA2702,10749,2,VFG041046(gb|NP_251392),10749
VFG051817(gb|WP_003090565.1),PA2702,10748,2,VFG041046(gb|NP_251392),10749
VFG051815(gb|WP_012076490.1),PA2702,10719,2,VFG041046(gb|NP_251392),10749
VFG051483(gb|NP_251464.1),PA2774,10701,2,VFG051829(gb|WP_003138819.1),10735
VFG013948(gb|NP_251650),PA2960,10796,2,VFG013950(gb|WP_003091119),10800
VFG013949(gb|WP_003091119),PA2960,10795,2,VFG013950(gb|WP_003091119),10800
VFG013973(gb|WP_003138501),PA3115,11519,2,VFG001230(gb|NP_251805),11519
VFG019758(gb|WP_012613878),PA3115,11519,2,VFG001230(gb|NP_251805),11519
VFG014117(gb|NP_251831),PA3141,11307,2,VFG019790(gb|WP_003122257),11315
VFG014147(gb|WP_003138484),PA3141,11307,2,VFG019790(gb|WP_003122257),11315
VFG014135(gb|WP_025297832),PA3141,259,2,VFG019790(gb|WP_003122257),11315
VFG015853(gb|WP_012074913),PA3319,11579,2,VFG015852(gb|NP_252009),11579
VFG015854(gb|WP_003138281),PA3319,11579,2,VFG015852(gb|NP_252009),11579
VFG020045(gb|WP_012613840),PA3319,11579,2,VFG015852(gb|NP_252009),11579
VFG014642(gb|NP_252040),PA3350,10841,2,VFG014644(gb|WP_003091731),10842
VFG019867(gb|WP_003098745),PA3350,10841,2,VFG014644(gb|WP_003091731),10842
VFG014655(gb|NP_252041),PA3351,10796,2,VFG019869(gb|WP_003098742),10797
VFG014657(gb|WP_003091732),PA3351,10796,2,VFG019869(gb|WP_003098742),10797
VFG014656(gb|WP_003151922),PA3351,6961,2,VFG019869(gb|WP_003098742),10797
VFG014670(gb|WP_003091733),PA3352,10811,2,VFG014668(gb|NP_252042),10811
VFG019871(gb|WP_003091733),PA3352,10811,2,VFG014668(gb|NP_252042),10811
VFG000153(gb|NP_252166),PA3476,10685,2,VFG019935(gb|WP_003111059),10691
VFG015052(gb|WP_003138177),PA3476,10684,2,VFG019935(gb|WP_003111059),10691
VFG019934(gb|WP_003119559),PA3477,10724,2,VFG015049(gb|WP_003119559),10724
VFG000152(gb|NP_252167),PA3477,10719,2,VFG015049(gb|WP_003119559),10724
VFG015048(gb|WP_003119559),PA3477,30,2,VFG015049(gb|WP_003119559),10724
VFG015044(gb|WP_003092007),PA3478,11505,2,VFG000155(gb|NP_252168),11505
VFG019932(gb|WP_012613761),PA3478,11505,2,VFG000155(gb|NP_252168),11505
VFG015043(gb|WP_003155939),PA3478,1,1,VFG000155(gb|NP_252168),11505
VFG015041(gb|WP_003092013),PA3479,10822,2,VFG019930(gb|WP_003092013),10828
VFG000156(gb|NP_252169),PA3479,10816,2,VFG019930(gb|WP_003092013),10828
VFG015040(gb|WP_012074800),PA3479,9,2,VFG019930(gb|WP_003092013),10828
VFG051818(gb|WP_003092026.1),PA3484,11579,2,VFG041047(gb|NP_252174),11579
VFG051821(gb|WP_003138171.1),PA3484,11579,2,VFG041047(gb|NP_252174),11579
VFG051819(gb|WP_012074797.1),PA3484,11578,2,VFG041047(gb|NP_252174),11579
VFG015860(gb|WP_003138138),PA3487,3756,2,VFG015859(gb|NP_252177),3757
VFG014733(gb|NP_252216),PA3526,10912,2,VFG014735(gb|WP_003138116),10925
VFG014734(gb|WP_012074781),PA3526,12,2,VFG014735(gb|WP_003138116),10925
VFG014748(gb|WP_003110461),PA3540,11579,2,VFG000122(gb|NP_252230),11579
VFG014747(gb|WP_003154318),PA3540,11578,2,VFG000122(gb|NP_252230),11579
VFG014757(gb|WP_003243115),PA3540,1,1,VFG000122(gb|NP_252230),11579
VFG014759(gb|WP_074197298),PA3541,11579,2,VFG000123(gb|NP_252231),11579
VFG014760(gb|WP_003138103),PA3541,11579,2,VFG000123(gb|NP_252231),11579
VFG019885(gb|WP_003119545),PA3541,11579,2,VFG000123(gb|NP_252231),11579
VFG014771(gb|WP_012074769),PA3542,11579,2,VFG000124(gb|NP_252232),11579
VFG014772(gb|WP_003092101),PA3542,11579,2,VFG000124(gb|NP_252232),11579
VFG019887(gb|WP_003092101),PA3542,11579,2,VFG000124(gb|NP_252232),11579
VFG014783(gb|WP_012074768),PA3543,11579,2,VFG000125(gb|NP_252233),11579
VFG014784(gb|WP_003110463),PA3543,11579,2,VFG000125(gb|NP_252233),11579
VFG019889(gb|WP_003110463),PA3543,11579,2,VFG000125(gb|NP_252233),11579
VFG014796(gb|WP_012074767),PA3544,11579,2,VFG000126(gb|NP_252234),11579
VFG014797(gb|WP_003138101),PA3544,11579,2,VFG000126(gb|NP_252234),11579
VFG019891(gb|WP_003110464),PA3544,11579,2,VFG000126(gb|NP_252234),11579
VFG014808(gb|WP_012074766),PA3545,11579,2,VFG000127(gb|NP_252235),11579
VFG014809(gb|WP_003138099),PA3545,11579,2,VFG000127(gb|NP_252235),11579
VFG019893(gb|WP_003110465),PA3545,11579,2,VFG000127(gb|NP_252235),11579
VFG014820(gb|WP_012074765),PA3546,11579,2,VFG000128(gb|NP_252236),11579
VFG014821(gb|WP_003092107),PA3546,11579,2,VFG000128(gb|NP_252236),11579
VFG019895(gb|WP_012613748),PA3546,11579,2,VFG000128(gb|NP_252236),11579
VFG014833(gb|WP_003092108),PA3547,11579,2,VFG000129(gb|NP_252237),11579
VFG019897(gb|WP_012613747),PA3547,11579,2,VFG000129(gb|NP_252237),11579
VFG014832(gb|WP_012074764),PA3547,11494,2,VFG000129(gb|NP_252237),11579
VFG014844(gb|WP_012074763),PA3548,11579,2,VFG000130(gb|NP_252238),11579
VFG014845(gb|WP_003138085),PA3548,11579,2,VFG000130(gb|NP_252238),11579
VFG019899(gb|WP_003110467),PA3548,11579,2,VFG000130(gb|NP_252238),11579
VFG014858(gb|WP_003092111),PA3549,11578,2,VFG000131(gb|NP_252239),11578
VFG019901(gb|WP_003092111),PA3549,11578,2,VFG000131(gb|NP_252239),11578
VFG014857(gb|WP_003157810),PA3549,11575,2,VFG000131(gb|NP_252239),11578
VFG014869(gb|WP_012074762),PA3550,10836,2,VFG000132(gb|NP_252240),10836
VFG014870(gb|WP_003138083),PA3550,10836,2,VFG000132(gb|NP_252240),10836
VFG019903(gb|WP_003092112),PA3550,10836,2,VFG000132(gb|NP_252240),10836
VFG014881(gb|WP_012074761),PA3551,11579,2,VFG000133(gb|NP_252241),11579
VFG014882(gb|WP_003092113),PA3551,11579,2,VFG000133(gb|NP_252241),11579
VFG019905(gb|WP_003092113),PA3551,11579,2,VFG000133(gb|NP_252241),11579
VFG014885(gb|WP_011167899),PA3551,1,1,VFG000133(gb|NP_252241),11579
VFG014886(gb|WP_003251742),PA3551,1,1,VFG000133(gb|NP_252241),11579
VFG015758(gb|WP_041166587),PA3551,1,1,VFG000133(gb|NP_252241),11579
VFG015002(gb|WP_003138017),PA3649,11579,2,VFG015000(gb|NP_252339),11579
VFG019924(gb|WP_012613725),PA3649,11579,2,VFG015000(gb|NP_252339),11579
VFG015001(gb|WP_012074695),PA3649,11578,2,VFG015000(gb|NP_252339),11579
VFG015558(gb|WP_003092588),PA3724,11575,2,VFG000146(gb|NP_252413),11575
VFG020040(gb|WP_003113835),PA3724,11575,2,VFG000146(gb|NP_252413),11575
VFG015557(gb|WP_012074626),PA3724,2,2,VFG000146(gb|NP_252413),11575
VFG019735(gb|WP_003092804),PA3805,10850,2,VFG013823(gb|WP_003092804),10850
VFG001217(gb|NP_252494),PA3805,10849,2,VFG013823(gb|WP_003092804),10850
VFG019978(gb|WP_003113791),PA3841,8635,2,VFG000147(gb|NP_252530),8635
VFG014997(gb|NP_252722),PA4033,10771,2,VFG019923(gb|WP_003093256),10772
VFG014999(gb|WP_003093256),PA4033,10770,2,VFG019923(gb|WP_003093256),10772
VFG015848(gb|WP_003110541),PA4175,11548,2,VFG015846(gb|NP_252864),11548
VFG020043(gb|WP_003101348),PA4175,11548,2,VFG015846(gb|NP_252864),11548
VFG015847(gb|WP_012074275),PA4175,53,2,VFG015846(gb|NP_252864),11548
VFG015547(gb|WP_003093617),PA4209,11426,2,VFG020036(gb|WP_003093617),11506
VFG000172(gb|NP_252898),PA4209,11425,2,VFG020036(gb|WP_003093617),11506
VFG020022(gb|WP_012613549),PA4210,10826,2,VFG015503(gb|NP_252899),10826
VFG015505(gb|WP_003137497),PA4210,10825,2,VFG015503(gb|NP_252899),10826
VFG015508(gb|WP_003123955),PA4211,10119,2,VFG015506(gb|NP_252900),10133
VFG020023(gb|WP_003123955),PA4211,10062,2,VFG015506(gb|NP_252900),10133
VFG015504(gb|WP_041025452),PA4211,279,2,VFG015506(gb|NP_252900),10133
VFG015511(gb|WP_011666542),PA4212,10857,2,VFG015509(gb|NP_252901),10857
VFG015532(gb|WP_011666699),PA4212,10857,2,VFG015509(gb|NP_252901),10857
VFG020024(gb|WP_003093621),PA4212,10857,2,VFG015509(gb|NP_252901),10857
VFG015510(gb|WP_012074248),PA4212,10855,2,VFG015509(gb|NP_252901),10857
VFG015531(gb|WP_012074248),PA4212,10855,2,VFG015509(gb|NP_252901),10857
VFG015514(gb|WP_003093625),PA4213,10109,2,VFG015512(gb|NP_252902),10109
VFG015535(gb|WP_011666698),PA4213,10109,2,VFG015512(gb|NP_252902),10109
VFG020025(gb|WP_012613548),PA4213,10109,2,VFG015512(gb|NP_252902),10109
VFG015534(gb|WP_003157855),PA4213,9952,2,VFG015512(gb|NP_252902),10109
VFG015513(gb|WP_003157855),PA4213,9762,2,VFG015512(gb|NP_252902),10109
VFG015517(gb|WP_003137488),PA4214,11486,2,VFG015515(gb|NP_252903),11486
VFG015538(gb|WP_011666697),PA4214,11486,2,VFG015515(gb|NP_252903),11486
VFG020026(gb|WP_012613547),PA4214,11486,2,VFG015515(gb|NP_252903),11486
VFG015537(gb|WP_012074247),PA4214,11451,2,VFG015515(gb|NP_252903),11486
VFG015516(gb|WP_012074247),PA4214,11428,2,VFG015515(gb|NP_252903),11486
VFG015518(gb|NP_252904),PA4215,10119,2,VFG020027(gb|WP_003117652),10120
VFG015520(gb|WP_003093628),PA4215,10119,2,VFG020027(gb|WP_003117652),10120
VFG015519(gb|WP_012074246),PA4215,10118,2,VFG020027(gb|WP_003117652),10120
VFG015540(gb|WP_012074246),PA4215,10118,2,VFG020027(gb|WP_003117652),10120
VFG015550(gb|WP_003093633),PA4217,11551,2,VFG000173(gb|NP_252907),11551
VFG020037(gb|WP_003093633),PA4217,11551,2,VFG000173(gb|NP_252907),11551
VFG015549(gb|WP_012074243),PA4217,11549,2,VFG000173(gb|NP_252907),11551
VFG016153(gb|WP_003111969),PA4221,11560,2,VFG000164(gb|NP_252911),11560
VFG020096(gb|WP_003118950),PA4221,11560,2,VFG000164(gb|NP_252911),11560
VFG016152(gb|WP_034000074),PA4221,2,2,VFG000164(gb|NP_252911),11560
VFG016107(gb|WP_003137474),PA4222,11558,2,VFG001266(gb|NP_252912),11558
VFG020086(gb|WP_012613545),PA4222,11558,2,VFG001266(gb|NP_252912),11558
VFG016106(gb|WP_012074240),PA4222,167,2,VFG001266(gb|NP_252912),11558
VFG016111(gb|WP_003137473),PA4223,11546,2,VFG001267(gb|NP_252913),11546
VFG020087(gb|WP_012613544),PA4223,11546,2,VFG001267(gb|NP_252913),11546
VFG016110(gb|WP_012074239),PA4223,7,2,VFG001267(gb|NP_252913),11546
VFG020088(gb|WP_003115080),PA4224,11516,2,VFG001268(gb|NP_252914),11516
VFG016115(gb|WP_003137472),PA4224,11515,2,VFG001268(gb|NP_252914),11516
VFG016114(gb|WP_012074238),PA4224,10852,2,VFG001268(gb|NP_252914),11516
VFG016117(gb|WP_012074237),PA4225,11570,2,VFG000165(gb|NP_252915),11570
VFG016118(gb|WP_011666540),PA4225,11570,2,VFG000165(gb|NP_252915),11570
VFG020089(gb|WP_012613543),PA4225,11570,2,VFG000165(gb|NP_252915),11570
VFG016122(gb|WP_003137469),PA4226,11577,2,VFG000166(gb|NP_252916),11577
VFG020090(gb|WP_012613542),PA4226,11577,2,VFG000166(gb|NP_252916),11577
VFG016121(gb|WP_012074236),PA4226,565,2,VFG000166(gb|NP_252916),11577
VFG000167(gb|NP_252917),PA4227,10873,2,VFG020091(gb|WP_003106955),10874
VFG016126(gb|WP_003106955),PA4227,10870,2,VFG020091(gb|WP_003106955),10874
VFG016130(gb|WP_003137468),PA4228,11579,2,VFG000168(gb|NP_252918),11579
VFG020092(gb|WP_003118945),PA4228,11579,2,VFG000168(gb|NP_252918),11579
VFG016129(gb|WP_003157555),PA4228,10884,2,VFG000168(gb|NP_252918),11579
VFG020093(gb|WP_003106952),PA4229,10849,2,VFG000169(gb|NP_252919),10849
VFG016135(gb|WP_003137465),PA4229,10845,2,VFG000169(gb|NP_252919),10849
VFG016139(gb|WP_003137464),PA4230,10785,2,VFG000170(gb|NP_252920),10785
VFG020094(gb|WP_003106950),PA4230,10785,2,VFG000170(gb|NP_252920),10785
VFG016138(gb|WP_041025451),PA4230,1,1,VFG000170(gb|NP_252920),10785
VFG016146(gb|WP_003129314),PA4231,11574,2,VFG000171(gb|NP_252921),11575
VFG020095(gb|WP_012613541),PA4231,11574,2,VFG000171(gb|NP_252921),11575
VFG014984(gb|NP_253136),PA4446,11578,2,VFG014986(gb|WP_003094320),11579
VFG019921(gb|WP_003145897),PA4446,11578,2,VFG014986(gb|WP_003094320),11579
VFG014985(gb|WP_012077206),PA4446,1829,2,VFG014986(gb|WP_003094320),11579
VFG000112(gb|NP_253216),PA4526,3170,2,VFG019728(gb|WP_003122078),6198
VFG013775(gb|WP_003141354),PA4526,2162,2,VFG019728(gb|WP_003122078),6198
VFG013774(gb|WP_033998207),PA4526,56,2,VFG019728(gb|WP_003122078),6198
VFG019731(gb|WP_003107301),PA4528,10879,2,VFG000114(gb|NP_253218),10879
VFG013797(gb|WP_003141356),PA4528,10876,2,VFG000114(gb|NP_253218),10879
VFG013796(gb|WP_012077297),PA4528,10867,2,VFG000114(gb|NP_253218),10879
VFG013996(gb|WP_003094692),PA4546,11577,2,VFG001213(gb|NP_253236),11577
VFG019761(gb|WP_012614544),PA4546,11577,2,VFG001213(gb|NP_253236),11577
VFG013986(gb|WP_003094694),PA4547,11576,2,VFG001214(gb|NP_253237),11576
VFG019759(gb|WP_003110427),PA4547,11576,2,VFG001214(gb|NP_253237),11576
VFG013985(gb|WP_012077306),PA4547,18,2,VFG001214(gb|NP_253237),11576
VFG013992(gb|WP_011921055),PA4547,2,1,VFG001214(gb|NP_253237),11576
VFG013993(gb|WP_026006503),PA4547,1,1,VFG001214(gb|NP_253237),11576
VFG001215(gb|NP_253239),PA4549,8806,2,VFG019756(gb|WP_003161431),8809
VFG001207(gb|NP_253241),PA4551,8814,2,VFG019747(gb|WP_003119423),8815
VFG013919(gb|WP_012077309),PA4551,1,1,VFG019747(gb|WP_003119423),8815
VFG019749(gb|WP_003119422),PA4552,7972,2,VFG001208(gb|NP_253242),7972
VFG013930(gb|WP_003150019),PA4553,132,1,VFG001209(gb|NP_253243),8688
VFG019753(gb|WP_003123397),PA4554,7891,2,VFG001210(gb|NP_253244),9298
VFG019754(gb|WP_012614546),PA4555,8797,2,VFG001211(gb|NP_253245),8797
VFG019733(gb|WP_003094721),PA4556,8769,2,VFG001212(gb|NP_253246),8775
VFG013809(gb|WP_003150015),PA4556,10,2,VFG001212(gb|NP_253246),8775
VFG019873(gb|WP_003095673),PA4953,11552,2,VFG014681(gb|NP_253640),11552
VFG014683(gb|WP_003095673),PA4953,11540,2,VFG014681(gb|NP_253640),11552
VFG014682(gb|WP_012077641),PA4953,5,2,VFG014681(gb|NP_253640),11552
VFG014696(gb|WP_003095674),PA4954,10869,2,VFG014694(gb|NP_253641),10869
VFG019743(gb|WP_012614629),PA5040,9460,2,VFG001218(gb|NP_253727),9460
VFG013885(gb|WP_003141780),PA5040,2154,2,VFG001218(gb|NP_253727),9460
VFG013884(gb|WP_012077720),PA5040,10,2,VFG001218(gb|NP_253727),9460
VFG013871(gb|WP_012077721),PA5041,8528,2,VFG001219(gb|NP_253728),8854
VFG013872(gb|WP_003116136),PA5041,1995,2,VFG001219(gb|NP_253728),8854
VFG013861(gb|WP_003148775),PA5042,8007,2,VFG001220(gb|NP_253729),8861
VFG013862(gb|WP_003116135),PA5042,1992,2,VFG001220(gb|NP_253729),8861
VFG019738(gb|WP_003095839),PA5043,8859,2,VFG001221(gb|NP_253730),8859
VFG013849(gb|WP_003141783),PA5043,2007,2,VFG001221(gb|NP_253730),8859
VFG013848(gb|WP_003148777),PA5043,1,1,VFG001221(gb|NP_253730),8859
VFG013836(gb|WP_003110888),PA5044,11575,2,VFG001222(gb|NP_253731),11575
VFG019737(gb|WP_003110888),PA5044,11575,2,VFG001222(gb|NP_253731),11575
VFG013835(gb|WP_003110888),PA5044,10904,2,VFG001222(gb|NP_253731),11575
VFG051663(gb|WP_003141825.1),PA5089,11561,2,VFG051661(gb|WP_012614635.1),11562
VFG051488(gb|NP_253776.1),PA5089,11542,2,VFG051661(gb|WP_012614635.1),11562
VFG000117(gb|NP_253940),PA5253,9383,2,VFG019926(gb|WP_003099228),9504
VFG015015(gb|WP_011666786),PA5253,9314,2,VFG019926(gb|WP_003099228),9504
VFG015028(gb|WP_003120370),PA5255,10831,2,VFG000118(gb|NP_253942),10831
VFG019928(gb|WP_003120370),PA5255,10831,2,VFG000118(gb|NP_253942),10831
VFG015027(gb|WP_003154610),PA5255,3,1,VFG000118(gb|NP_253942),10831
VFG000119(gb|NP_253948),PA5261,10861,2,VFG014965(gb|WP_003096397),10862
VFG014964(gb|WP_003157680),PA5261,10754,2,VFG014965(gb|WP_003096397),10862
VFG014978(gb|WP_003096404),PA5262,11570,2,VFG000120(gb|NP_253949),11570
VFG014977(gb|WP_012077870),PA5262,10755,2,VFG000120(gb|NP_253949),11570
VFG051499(gb|WP_003083317.1),PA5267,9970,2,VFG051496(gb|WP_003083317.1),9975
VFG051497(gb|WP_012074519.1),PA5267,9754,2,VFG051496(gb|WP_003083317.1),9975
VFG051500(gb|WP_011536257.1),PA5267,2853,2,VFG051496(gb|WP_003083317.1),9975
VFG014895(gb|WP_016254361),PA5322,11579,2,VFG014893(gb|NP_254009),11579
VFG019907(gb|WP_010792971),PA5322,11579,2,VFG014893(gb|NP_254009),11579
VFG014894(gb|WP_012077935),PA5322,13,2,VFG014893(gb|NP_254009),11579
