Accession,locus_tag,combined_genome_count,number_of_clades_detected,n_vfg_for_locus
VFG037853(gb|YP_001083146),A1S_0049,1,1,1
VFG018205(gb|NP_414826),b0292,1,1,1
VFG018198(gb|NP_414827),b0293,1,1,1
VFG045917(gb|NP_415461),b0941,1,1,1
VFG012458(gb|YP_026164),b2000,1,1,1
VFG012270(gb|NP_418733),b4313,1,1,1
VFG012298(gb|NP_418737),b4317,2,2,1
VFG000113,,1880,2,
VFG000115(gb|NP_249839),,11354,2,
VFG000144(gb|NP_249940),,11566,2,
VFG000151(gb|NP_250121),,10679,2,
VFG000154(gb|NP_250123),,10684,2,
VFG000185(gb|NP_250381),,11538,2,
VFG000186(gb|NP_250382),,10818,2,
VFG000187(gb|NP_250383),,10598,2,
VFG000188(gb|NP_250384),,10803,2,
VFG000189(gb|NP_250385),,10859,2,
VFG000190(gb|NP_250386),,10298,2,
VFG000191(gb|NP_250387),,10745,2,
VFG000229,,1,1,
VFG000358(gb|WP_002212885),,2,1,
VFG000363(gb|WP_002212775),,1,1,
VFG000366(gb|WP_002212761),,1,1,
VFG000872(gb|WP_000044711),,1,1,
VFG000876(gb|WP_000120946),,2,2,
VFG000917(gb|WP_000089583),,1,1,
VFG000931(gb|WP_001336900),,2,1,
VFG000937(gb|WP_000750139),,1,1,
VFG000979(gb|WP_010921857),,1,1,
VFG001256(gb|NP_250134),,10961,2,
VFG001257(gb|NP_250135),,10807,2,
VFG001258(gb|NP_250136),,10803,2,
VFG001259(gb|NP_250137),,10844,2,
VFG001260(gb|NP_250138),,10580,2,
VFG001261(gb|NP_250139),,10788,2,
VFG001262(gb|NP_250140),,11571,2,
VFG001263(gb|NP_250143),,11574,2,
VFG001264(gb|NP_250144),,11562,2,
VFG001265(gb|NP_250145),,10838,2,
VFG001280(gb|WP_000934435),,1,1,
VFG001282(gb|WP_000841389),,2,1,
VFG001283(gb|WP_000794648),,2,1,
VFG001291(gb|WP_001039417),,2,1,
VFG001305(gb|WP_001034053),,1,1,
VFG001308(gb|WP_001291010),,3,1,
VFG001444(gb|AAG10151),,1,1,
VFG002044(gb|WP_010930609),,2,2,
VFG002055(gb|WP_000097229),,1,1,
VFG002056,,1,1,
VFG002101(gb|WP_010948213),,1,1,
VFG002179(gb|AAD09858),,1,1,
VFG002406(gb|WP_000728972),,1,1,
VFG002409(gb|WP_000549274),,1,1,
VFG002414(gb|WP_000730972),,1,1,
VFG002420(gb|WP_000645781),,1,1,
VFG003114(gb|WP_000784549),,2,1,
VFG003250(gb|WP_002212775),,1,1,
VFG003385(gb|WP_002212775),,1,1,
VFG003499(gb|WP_011816644),,2,1,
VFG003504(gb|WP_011816641),,1,1,
VFG003507(gb|WP_005168689),,1,1,
VFG003676(gb|WP_001120092),,1,1,
VFG003678(gb|WP_001120088),,1,1,
VFG003781(gb|WP_000258814),,1,1,
VFG003783(gb|WP_000258813),,1,1,
VFG003784(gb|WP_001540781),,1,1,
VFG003791(gb|WP_000245782),,1,1,
VFG003793(gb|WP_000245781),,1,1,
VFG003794(gb|WP_001540783),,1,1,
VFG003801(gb|WP_001166955),,1,1,
VFG003803(gb|WP_001166948),,1,1,
VFG004039(gb|WP_000131278),,1,1,
VFG004041(gb|WP_000131279),,1,1,
VFG004042(gb|WP_001541138),,1,1,
VFG004181(gb|WP_001541093),,1,1,
VFG004183(gb|WP_001541094),,1,1,
VFG004185,,1,1,
VFG004299(gb|WP_024133661),,1,1,
VFG004300(gb|WP_024131208),,1,1,
VFG004301(gb|WP_000981791),,1,1,
VFG004302(gb|WP_000981804),,1,1,
VFG004356,,1,1,
VFG004358(gb|WP_001160713),,1,1,
VFG004359(gb|WP_001541508),,1,1,
VFG004407(gb|WP_001038509),,1,1,
VFG004409(gb|WP_001541550),,1,1,
VFG004448(gb|WP_001540608),,1,1,
VFG004502(gb|WP_001109328),,8,2,
VFG004503,,1,1,
VFG004505,,8,2,
VFG004507,,5,2,
VFG004508(gb|WP_001109390),,8,2,
VFG004510,,8,2,
VFG004511(gb|WP_001109341),,8,2,
VFG004512(gb|WP_001109333),,8,2,
VFG004594(gb|WP_000934424),,1,1,
VFG004596(gb|WP_000934467),,1,1,
VFG004597(gb|WP_000934439),,1,1,
VFG004598(gb|WP_000934467),,1,1,
VFG004600(gb|WP_000934424),,1,1,
VFG004610(gb|WP_001039419),,2,1,
VFG004611(gb|WP_001039406),,2,1,
VFG004613(gb|WP_000841422),,2,1,
VFG004615(gb|WP_000841404),,1,1,
VFG004616(gb|WP_000841390),,2,1,
VFG004620(gb|WP_000794589),,1,1,
VFG004621(gb|WP_000794654),,1,1,
VFG004623(gb|WP_000794614),,1,1,
VFG004625(gb|WP_000794580),,1,1,
VFG004732(gb|WP_001548082),,2,1,
VFG004733(gb|WP_011382230),,2,1,
VFG004736(gb|WP_001793574),,2,1,
VFG004737(gb|WP_001643461),,2,1,
VFG004738(gb|WP_000141557),,2,1,
VFG004853(gb|WP_000473596),,1,1,
VFG004854(gb|WP_000473600),,1,1,
VFG004856(gb|WP_000473596),,1,1,
VFG004886(gb|WP_000673051),,1,1,
VFG004904,,1,1,
VFG004906(gb|WP_000778477),,1,1,
VFG004936(gb|WP_000673051),,1,1,
VFG004978(gb|WP_010922839),,1,1,
VFG005058(gb|WP_001034059),,1,1,
VFG005062(gb|WP_001045642),,1,1,
VFG005074(gb|WP_001085819),,2,1,
VFG005079(gb|WP_000239647),,2,1,
VFG005085(gb|WP_001291022),,3,1,
VFG005090(gb|WP_001291020),,3,1,
VFG005091(gb|WP_001291014),,3,1,
VFG005095(gb|WP_001291016),,3,1,
VFG005157(gb|WP_011529060),,1,1,
VFG005158(gb|WP_011285221),,1,1,
VFG005515(gb|WP_002994926),,1,1,
VFG005517(gb|WP_002991468),,1,1,
VFG005518(gb|WP_002994926),,1,1,
VFG005520(gb|WP_002994926),,1,1,
VFG005521(gb|WP_002981947),,1,1,
VFG005522(gb|WP_002991468),,1,1,
VFG005525(gb|WP_002981947),,1,1,
VFG005526(gb|WP_011285340),,1,1,
VFG005671(gb|WP_020833236),,1,1,
VFG005672(gb|WP_011054152),,1,1,
VFG005674,,1,1,
VFG005675(gb|WP_002991212),,1,1,
VFG005677(gb|WP_041174247),,1,1,
VFG005678(gb|WP_010921857),,1,1,
VFG006137(gb|WP_173024112),,1,1,
VFG006138(gb|WP_173024113),,1,1,
VFG007775(gb|WP_011894256),,2,1,
VFG007830(gb|WP_011894255),,1,1,
VFG007851(gb|WP_003899548),,1,1,
VFG007852(gb|WP_003414837),,1,1,
VFG007914(gb|WP_011780329),,30,1,
VFG008259(gb|WP_003412375),,1,1,
VFG008261(gb|WP_010950714),,1,1,
VFG008351(gb|WP_011740948),,1,1,
VFG008874(gb|WP_015288408),,1,1,
VFG008875(gb|WP_015303644),,1,1,
VFG008876(gb|WP_015291057),,1,1,
VFG008877(gb|WP_015294040),,1,1,
VFG008881(gb|WP_003414837),,1,1,
VFG008884(gb|WP_009938592),,1,1,
VFG008889(gb|WP_003414837),,1,1,
VFG009374(gb|WP_010908479),,19,1,
VFG009423(gb|WP_011856686),,37,2,
VFG009424(gb|WP_011561489),,37,2,
VFG009488,,5,2,
VFG009489(gb|WP_011724535),,4,1,
VFG009584(gb|WP_003873185),,1,1,
VFG009585(gb|WP_011724227),,1,1,
VFG009701(gb|WP_010948769),,1,1,
VFG009702(gb|WP_003872294),,1,1,
VFG009815(gb|WP_162830471),,106,2,
VFG009816(gb|WP_165928405),,106,2,
VFG009819(gb|WP_041799901),,10531,2,
VFG009820(gb|WP_036377494),,106,2,
VFG009862(gb|WP_071498255),,1,1,
VFG009865(gb|WP_041307013),,6,1,
VFG009930(gb|WP_011779804),,7,1,
VFG010698(gb|WP_080020091),,1,1,
VFG010699(gb|WP_011216393),,1,1,
VFG010939(gb|WP_148265616),,1,1,
VFG010940(gb|WP_041937492),,1,1,
VFG011118(gb|WP_010930609),,2,2,
VFG011119(gb|WP_010930609),,2,2,
VFG011158(gb|WP_012415798),,1,1,
VFG011257,,1,1,
VFG011258,,1,1,
VFG011259(gb|WP_003811905),,1,1,
VFG011288(gb|WP_012417360),,1,1,
VFG012252(gb|WP_001535784),,1,1,
VFG012271(gb|WP_000044700),,1,1,
VFG012274(gb|WP_000044708),,1,1,
VFG012275(gb|WP_000044708),,1,1,
VFG012299(gb|WP_000120982),,2,2,
VFG012302(gb|WP_000120951),,2,2,
VFG012303(gb|WP_000120954),,2,2,
VFG012454(gb|WP_000820483),,1,1,
VFG012456(gb|WP_000820518),,1,1,
VFG012457(gb|WP_000820443),,1,1,
VFG012459(gb|WP_000820423),,1,1,
VFG012460(gb|WP_000820396),,1,1,
VFG012518(gb|WP_000973517),,1,1,
VFG012520(gb|WP_012006523),,1,1,
VFG012535(gb|WP_001327263),,1,1,
VFG012536(gb|WP_001295637),,1,1,
VFG012537(gb|WP_001304269),,1,1,
VFG012538(gb|WP_001350678),,1,1,
VFG012548(gb|WP_000623031),,1,1,
VFG012549(gb|WP_000623043),,1,1,
VFG012550(gb|WP_000623043),,1,1,
VFG012567(gb|WP_000784549),,2,1,
VFG012569(gb|WP_000784554),,2,1,
VFG012570(gb|WP_000784540),,2,1,
VFG012597(gb|WP_000089593),,1,1,
VFG012600(gb|WP_000089598),,1,1,
VFG012601(gb|WP_000089584),,1,1,
VFG012602(gb|WP_000089584),,1,1,
VFG012865,,7,2,
VFG012912(gb|WP_000094969),,1,1,
VFG012914(gb|WP_000942800),,1,1,
VFG012961(gb|WP_000750138),,1,1,
VFG012962(gb|WP_000750143),,1,1,
VFG012985(gb|WP_000026832),,1,1,
VFG012988(gb|WP_000026772),,1,1,
VFG012989(gb|WP_000026762),,1,1,
VFG012990(gb|WP_000026810),,1,1,
VFG012991(gb|WP_000381303),,2,1,
VFG012992,,2,1,
VFG012993,,2,1,
VFG012994,,2,1,
VFG012995(gb|WP_004980869),,2,1,
VFG012996(gb|WP_005141144),,2,1,
VFG013003(gb|WP_005019349),,1,1,
VFG013005(gb|WP_001506608),,1,1,
VFG013008(gb|WP_001370282),,1,1,
VFG013012(gb|WP_001034936),,1,1,
VFG013064(gb|WP_000089574),,1,1,
VFG013733(gb|WP_003854229),,8,1,
VFG013762(gb|WP_003141352),,3564,2,
VFG013784(gb|WP_016254080),,1422,2,
VFG013810(gb|WP_003116267),,2024,2,
VFG013925(gb|WP_016254061),,2038,2,
VFG013931(gb|WP_003116263),,2029,2,
VFG013937(gb|WP_003141555),,2144,2,
VFG013962(gb|WP_003141552),,2027,2,
VFG013972(gb|WP_034028141),,24,2,
VFG014063(gb|WP_011105280),,9,2,
VFG014064(gb|WP_011266435),,1,1,
VFG014065(gb|WP_011167502),,1,1,
VFG014069(gb|WP_011063997),,2,1,
VFG014070(gb|WP_011336362),,1,1,
VFG014072(gb|WP_011914954),,5,2,
VFG014118(gb|WP_012075024),,253,2,
VFG014119(gb|WP_012075025),,221,2,
VFG014120(gb|WP_042169654),,253,2,
VFG014122(gb|WP_003150874),,253,2,
VFG014123(gb|WP_003150878),,216,2,
VFG014124(gb|WP_012075029),,253,2,
VFG014125(gb|WP_012075030),,253,2,
VFG014126(gb|WP_012075031),,253,2,
VFG014127(gb|WP_012075032),,255,2,
VFG014128(gb|WP_012075033),,217,2,
VFG014129(gb|WP_003150889),,254,2,
VFG014130(gb|WP_012075034),,254,2,
VFG014131(gb|WP_025297833),,248,2,
VFG014132(gb|WP_012075036),,258,2,
VFG014133(gb|WP_012075037),,951,2,
VFG014134(gb|WP_003150897),,990,2,
VFG014136(gb|WP_011666598),,291,2,
VFG014137(gb|WP_003138472),,291,2,
VFG014138(gb|WP_003138473),,291,2,
VFG014139(gb|WP_003138474),,292,2,
VFG014140(gb|WP_016254249),,288,2,
VFG014141(gb|WP_003138476),,274,2,
VFG014142(gb|WP_016254248),,291,2,
VFG014143(gb|WP_003138478),,290,2,
VFG014144(gb|WP_003138479),,291,2,
VFG014145(gb|WP_003138480),,277,2,
VFG014146(gb|WP_003138482),,291,2,
VFG014279(gb|WP_012076722),,1,1,
VFG014292(gb|WP_012076715),,6079,2,
VFG014344(gb|WP_003152328),,1,1,
VFG014416(gb|WP_011534909),,1,1,
VFG014420(gb|WP_013983230),,1,1,
VFG014473(gb|NP_250132),,11570,2,
VFG014486(gb|NP_250133),,10818,2,
VFG014629(gb|NP_250146),,10830,2,
VFG014707(gb|NP_250151),,10830,2,
VFG014720(gb|NP_250152),,10867,2,
VFG014754(gb|WP_011535583),,1,1,
VFG014755(gb|WP_011059377),,1,1,
VFG014849(gb|WP_010952409),,1,1,
VFG014851(gb|WP_011535591),,1,1,
VFG015070(gb|WP_011103673),,10,1,
VFG015075(gb|WP_011532652),,70,2,
VFG015165(gb|WP_003134060),,2868,2,
VFG015260(gb|WP_162885235),,144,2,
VFG015261(gb|WP_004656243),,144,2,
VFG015383(gb|WP_011064245),,17,2,
VFG015433,,11097,2,
VFG015685(gb|WP_012315524),,1,1,
VFG015737(gb|WP_012312817),,1,1,
VFG015753(gb|WP_012312809),,1,1,
VFG015782(gb|WP_012270935),,30,2,
VFG015819(gb|WP_012315373),,3,1,
VFG015822(gb|WP_190273339),,2,2,
VFG015826(gb|WP_012273396),,10628,2,
VFG015827(gb|WP_012315395),,80,2,
VFG015904(gb|WP_164920479),,4603,2,
VFG015905(gb|WP_164920559),,3605,2,
VFG015906(gb|WP_011267825),,6316,2,
VFG015908(gb|WP_164920478),,101,2,
VFG016021(gb|WP_003148545),,5034,2,
VFG016034(gb|WP_011267346),,1,1,
VFG016035(gb|WP_011168293),,1,1,
VFG016036(gb|WP_010954974),,45,2,
VFG016037(gb|WP_011062375),,4250,2,
VFG016039(gb|WP_012075665),,4742,2,
VFG016042(gb|WP_161440564),,7531,2,
VFG016044(gb|WP_011534374),,10581,2,
VFG016045(gb|WP_011062374),,10466,2,
VFG016062(gb|WP_165446461),,1585,2,
VFG016066(gb|WP_011533065),,10477,2,
VFG016067(gb|WP_011062464),,6273,2,
VFG016072(gb|WP_044390135),,2,1,
VFG016073(gb|WP_011267336),,2,1,
VFG016088(gb|WP_012075637),,618,2,
VFG016094(gb|WP_012075666),,2661,2,
VFG016103(gb|WP_011333998),,4,1,
VFG016108(gb|WP_011061774),,10331,2,
VFG016119(gb|WP_011061772),,1,1,
VFG016123(gb|WP_011061773),,10723,2,
VFG016155(gb|WP_041025357),,1,1,
VFG016158(gb|WP_012075848),,1,1,
VFG016163(gb|WP_012075853),,1,1,
VFG016598(gb|WP_011113852),,9,2,
VFG016789(gb|WP_011179056),,1,1,
VFG017085(gb|WP_000473593),,1,1,
VFG017108(gb|WP_000794607),,1,1,
VFG017111(gb|WP_000934463),,1,1,
VFG017120(gb|WP_001109369),,8,2,
VFG017218,,2,1,
VFG017220,,1,1,
VFG017224(gb|WP_000934419),,1,1,
VFG017242,,8,2,
VFG017626(gb|WP_041180119),,1,1,
VFG017627(gb|WP_003412375),,1,1,
VFG017629(gb|WP_003412375),,1,1,
VFG017634(gb|WP_024753930),,1,1,
VFG018103(gb|WP_000728958),,1,1,
VFG018105(gb|WP_000728955),,1,1,
VFG018110(gb|WP_000728940),,1,1,
VFG018114(gb|WP_000728969),,1,1,
VFG018143(gb|WP_000549278),,1,1,
VFG018154(gb|WP_000549287),,1,1,
VFG018161(gb|WP_000549309),,1,1,
VFG018165(gb|WP_000549269),,1,1,
VFG018166(gb|WP_000549278),,1,1,
VFG018201(gb|WP_000730985),,1,1,
VFG018202(gb|WP_000730982),,1,1,
VFG018203(gb|WP_000095070),,1,1,
VFG018204(gb|WP_000730982),,1,1,
VFG018207(gb|WP_000716404),,1,1,
VFG018208(gb|WP_000716404),,1,1,
VFG018209(gb|WP_000716404),,1,1,
VFG018308(gb|WP_001160719),,1,1,
VFG018321,,1,1,
VFG018348,,1,1,
VFG018349(gb|WP_000914251),,1,1,
VFG018391(gb|WP_000837127),,1,1,
VFG018403(gb|WP_000131294),,1,1,
VFG018496(gb|WP_001166949),,1,1,
VFG018499(gb|WP_000245788),,1,1,
VFG018503(gb|WP_000258818),,1,1,
VFG018766(gb|WP_200858480),,1,1,
VFG018768(gb|WP_164732682),,1,1,
VFG018769(gb|WP_164729439),,1,1,
VFG018921(gb|WP_012229554),,1,1,
VFG018924(gb|WP_012229555),,1,1,
VFG019674,,1,1,
VFG019726(gb|WP_003122079),,2333,2,
VFG019729(gb|WP_003107299),,6059,2,
VFG019772(gb|WP_015886333),,25,1,
VFG019780(gb|WP_014602695),,3096,2,
VFG019781(gb|WP_012613866),,3091,2,
VFG019782(gb|WP_003163315),,3091,2,
VFG019783(gb|WP_012613867),,3091,2,
VFG019784(gb|WP_172668778),,2959,2,
VFG019785(gb|WP_012613869),,3095,2,
VFG019786(gb|WP_003122253),,3091,2,
VFG019787(gb|WP_003122254),,3091,2,
VFG019788(gb|WP_016253165),,2960,2,
VFG019789(gb|WP_003452706),,3091,2,
VFG019828(gb|WP_015885195),,1,1,
VFG019942(gb|WP_012724914),,74,2,
VFG020065(gb|WP_012614134),,2422,2,
VFG020069(gb|WP_148235954),,2432,2,
VFG020070(gb|WP_012614131),,2345,2,
VFG020071(gb|WP_012723748),,10763,2,
VFG020073(gb|WP_043205221),,2142,2,
VFG020077(gb|WP_015885148),,10697,2,
VFG020079(gb|WP_015885149),,2,1,
VFG020082(gb|WP_025208403),,2418,2,
VFG020161(gb|WP_000942800),,1,1,
VFG020167(gb|WP_000750143),,1,1,
VFG020171(gb|WP_000026762),,1,1,
VFG020172(gb|WP_012421470),,2,1,
VFG020317(gb|WP_012614130),,2482,2,
VFG020422(gb|WP_001120085),,1,1,
VFG020423(gb|WP_001120077),,1,1,
VFG020427(gb|WP_001120085),,1,1,
VFG020428(gb|WP_001120090),,1,1,
VFG020610(gb|WP_000258808),,1,1,
VFG020611(gb|WP_000258824),,1,1,
VFG020612(gb|WP_000258819),,1,1,
VFG020614(gb|WP_000258805),,1,1,
VFG020615(gb|WP_000258819),,1,1,
VFG020617(gb|WP_000258807),,1,1,
VFG020627(gb|WP_000245785),,1,1,
VFG020628(gb|WP_000245788),,1,1,
VFG020629(gb|WP_000245782),,1,1,
VFG020630(gb|WP_000245788),,1,1,
VFG020632(gb|WP_000245787),,1,1,
VFG020633(gb|WP_000245788),,1,1,
VFG020634(gb|WP_000245782),,1,1,
VFG020635(gb|WP_000245782),,1,1,
VFG020647(gb|WP_001166961),,1,1,
VFG020648(gb|WP_001166952),,1,1,
VFG020649(gb|WP_001166949),,1,1,
VFG020650(gb|WP_001166951),,1,1,
VFG020651(gb|WP_001166950),,1,1,
VFG020652(gb|WP_001166962),,1,1,
VFG020653(gb|WP_001166958),,1,1,
VFG021052(gb|WP_000131297),,1,1,
VFG021053(gb|WP_000131302),,1,1,
VFG021054(gb|WP_000131291),,1,1,
VFG021055(gb|WP_000131287),,1,1,
VFG021056(gb|WP_000131277),,1,1,
VFG021057(gb|WP_000131284),,1,1,
VFG021058(gb|WP_000131298),,1,1,
VFG021059(gb|WP_000131296),,1,1,
VFG021120,,1,1,
VFG021121(gb|WP_000375804),,1,1,
VFG021122,,1,1,
VFG021123,,1,1,
VFG021124,,1,1,
VFG021125(gb|WP_000375785),,1,1,
VFG021126(gb|WP_000375782),,1,1,
VFG021335(gb|WP_000792956),,1,1,
VFG021336(gb|WP_000792960),,1,1,
VFG021337(gb|WP_000792957),,1,1,
VFG021339(gb|WP_000792958),,1,1,
VFG021341(gb|WP_000792957),,1,1,
VFG021342(gb|WP_000914256),,1,1,
VFG021344(gb|WP_000914254),,1,1,
VFG021346(gb|WP_000914254),,1,1,
VFG021348(gb|WP_000914255),,1,1,
VFG021349(gb|WP_000220309),,1,1,
VFG021350(gb|WP_000220316),,1,1,
VFG021351,,1,1,
VFG021352(gb|WP_000220313),,1,1,
VFG021353,,1,1,
VFG021355(gb|WP_000220311),,1,1,
VFG021516(gb|WP_000981787),,1,1,
VFG021517(gb|WP_000981798),,1,1,
VFG021518(gb|WP_000981797),,1,1,
VFG021519(gb|WP_000981799),,1,1,
VFG021520(gb|WP_000981789),,1,1,
VFG021521(gb|WP_000981807),,1,1,
VFG021620(gb|WP_001160718),,1,1,
VFG021621(gb|WP_001160699),,1,1,
VFG021622(gb|WP_001160704),,1,1,
VFG021623(gb|WP_001160707),,1,1,
VFG021624(gb|WP_001160707),,1,1,
VFG021625(gb|WP_001160707),,1,1,
VFG021626(gb|WP_001160700),,1,1,
VFG021632,,1,1,
VFG021743(gb|WP_000007887),,1,1,
VFG021820(gb|WP_003893504),,10459,2,
VFG021860(gb|WP_011726611),,1,1,
VFG022385(gb|WP_041319509),,506,2,
VFG022392(gb|WP_013829148),,539,1,
VFG022415(gb|WP_014001494),,1,1,
VFG022563(gb|WP_041180119),,1,1,
VFG022934(gb|WP_020726450),,1,1,
VFG022941(gb|WP_013827874),,10671,2,
VFG023254(gb|WP_013826991),,86,2,
VFG023837(gb|WP_011894256),,2,1,
VFG023843(gb|WP_013471682),,1,1,
VFG024002(gb|WP_008255566),,4,1,
VFG024003(gb|WP_008255566),,4,1,
VFG024004(gb|WP_014382296),,4,1,
VFG024006(gb|WP_014379795),,2,1,
VFG024169(gb|WP_099961986),,10530,2,
VFG024170(gb|WP_014381773),,106,2,
VFG024171(gb|WP_014710887),,106,2,
VFG024439(gb|WP_170320649),,26,2,
VFG024441(gb|WP_170320649),,26,2,
VFG025785(gb|WP_006477362),,1,1,
VFG025788(gb|WP_006477362),,1,1,
VFG025863(gb|WP_011546711),,256,2,
VFG025865(gb|WP_006493442),,258,2,
VFG025866(gb|WP_012327704),,256,2,
VFG025876(gb|WP_011546712),,597,2,
VFG025878(gb|WP_012492267),,597,2,
VFG025879(gb|WP_012327703),,597,2,
VFG025902(gb|WP_011546713),,10518,2,
VFG025905(gb|WP_012327701),,10520,2,
VFG026573(gb|WP_020822197),,3,1,
VFG027131(gb|WP_015309447),,1,1,
VFG027154(gb|WP_020821555),,106,2,
VFG027157(gb|WP_005092754),,1609,2,
VFG027210(gb|WP_020726450),,1,1,
VFG028200(gb|WP_015303218),,10,1,
VFG029687,,1856,2,
VFG029696(gb|WP_014942395),,3179,2,
VFG029697(gb|WP_014711950),,1970,2,
VFG029698(gb|WP_014382789),,2933,2,
VFG029699(gb|WP_014385156),,3179,2,
VFG029700(gb|WP_014380392),,3179,2,
VFG029750(gb|WP_011857547),,5,1,
VFG029751(gb|WP_011562667),,5,1,
VFG029827(gb|WP_011777591),,1,1,
VFG030408(gb|WP_015355418),,9,1,
VFG030675(gb|WP_003875535),,8,1,
VFG030676(gb|WP_011724098),,729,2,
VFG030678(gb|WP_011894706),,1,1,
VFG030694(gb|WP_013471930),,1,1,
VFG031371(gb|WP_015288494),,280,2,
VFG031372(gb|WP_015303793),,280,2,
VFG031373(gb|WP_015291324),,939,2,
VFG031374(gb|WP_015294300),,939,2,
VFG031387(gb|WP_015695583),,280,2,
VFG033146(gb|WP_001521270),,6,2,
VFG033183(gb|WP_000044708),,1,1,
VFG033184(gb|WP_000044700),,1,1,
VFG033189(gb|WP_000044711),,1,1,
VFG033190(gb|WP_000044711),,1,1,
VFG033191(gb|WP_000044711),,1,1,
VFG033192(gb|WP_000044711),,1,1,
VFG033194(gb|WP_000044711),,1,1,
VFG033196(gb|WP_000044700),,1,1,
VFG033197(gb|WP_000044711),,1,1,
VFG033200(gb|WP_000044711),,1,1,
VFG033271(gb|WP_000120907),,2,2,
VFG033272(gb|WP_000120976),,2,2,
VFG033273(gb|WP_000120973),,2,2,
VFG033277(gb|WP_000120957),,2,2,
VFG033278,,2,2,
VFG033279(gb|WP_000120930),,2,2,
VFG033285(gb|WP_000120940),,2,2,
VFG033286,,2,2,
VFG033288(gb|WP_000120918),,2,2,
VFG033289(gb|WP_000121002),,2,2,
VFG033290(gb|WP_000120922),,2,2,
VFG033291(gb|WP_000120948),,2,2,
VFG033294(gb|WP_000120942),,2,2,
VFG033296(gb|WP_000120952),,2,2,
VFG033839(gb|WP_000820379),,1,1,
VFG033842(gb|WP_000820381),,1,1,
VFG033845(gb|WP_015675060),,1,1,
VFG033846(gb|WP_000820391),,1,1,
VFG033944(gb|WP_000973519),,1,1,
VFG033945(gb|WP_000973516),,1,1,
VFG033947(gb|WP_000973516),,1,1,
VFG033951(gb|WP_000973511),,1,1,
VFG033952(gb|WP_000750137),,1,1,
VFG033954(gb|WP_000750143),,1,1,
VFG033958(gb|WP_000750130),,1,1,
VFG034041(gb|WP_000654453),,1,1,
VFG034045(gb|WP_001304269),,1,1,
VFG034046(gb|WP_001304269),,1,1,
VFG034047(gb|WP_001304269),,1,1,
VFG034048(gb|WP_024256148),,1,1,
VFG034049(gb|WP_000654452),,1,1,
VFG034050(gb|WP_001446633),,1,1,
VFG034051(gb|WP_014639938),,1,1,
VFG034054(gb|WP_001304269),,1,1,
VFG034056(gb|WP_001608389),,1,1,
VFG034092(gb|WP_000623021),,1,1,
VFG034095(gb|WP_000623054),,1,1,
VFG034096(gb|WP_000623033),,1,1,
VFG034097(gb|WP_000623050),,1,1,
VFG034098(gb|WP_000623046),,1,1,
VFG034099(gb|WP_000623032),,1,1,
VFG034100(gb|WP_000623045),,1,1,
VFG034101(gb|WP_000623067),,1,1,
VFG034102(gb|WP_000623034),,1,1,
VFG034105(gb|WP_000623050),,1,1,
VFG034106(gb|WP_021565660),,1,1,
VFG034107(gb|WP_000623036),,1,1,
VFG034108(gb|WP_000623037),,1,1,
VFG034177(gb|WP_000784557),,2,1,
VFG034181(gb|WP_000784546),,2,1,
VFG034182(gb|WP_000784550),,2,1,
VFG034183(gb|WP_001304267),,2,1,
VFG034185(gb|WP_000784549),,2,1,
VFG034186(gb|WP_000784549),,2,1,
VFG034187(gb|WP_000784545),,2,1,
VFG034189(gb|WP_000784549),,2,1,
VFG034192(gb|WP_000784549),,2,1,
VFG034264(gb|WP_000089596),,1,1,
VFG034265(gb|WP_000089590),,1,1,
VFG034266(gb|WP_000089589),,1,1,
VFG034271(gb|WP_000089597),,1,1,
VFG034272(gb|WP_000089583),,1,1,
VFG034273(gb|WP_000089583),,1,1,
VFG034274(gb|WP_000089583),,1,1,
VFG034275(gb|WP_000089587),,1,1,
VFG034278(gb|WP_000089585),,1,1,
VFG034280(gb|WP_000089586),,1,1,
VFG034402(gb|WP_000730982),,1,1,
VFG034403(gb|WP_000730972),,1,1,
VFG034405(gb|WP_000730972),,1,1,
VFG034408(gb|WP_000730972),,1,1,
VFG034409(gb|WP_000730968),,1,1,
VFG034414(gb|WP_000730972),,1,1,
VFG034417(gb|WP_000730982),,1,1,
VFG034418(gb|WP_000730980),,1,1,
VFG034419(gb|WP_000730974),,1,1,
VFG034422(gb|WP_000730981),,1,1,
VFG034424,,1,1,
VFG034436(gb|WP_000716398),,1,1,
VFG034445(gb|WP_000716404),,1,1,
VFG034446(gb|WP_000716404),,1,1,
VFG034447(gb|WP_000716398),,1,1,
VFG034448(gb|WP_000716397),,1,1,
VFG034451(gb|WP_014639452),,1,1,
VFG034453(gb|WP_000716398),,1,1,
VFG034455(gb|WP_014640100),,1,1,
VFG034627,,1,1,
VFG034754(gb|WP_000081129),,1,1,
VFG034756,,1,1,
VFG035206(gb|WP_000512742),,1,1,
VFG035833(gb|WP_000103282),,1,1,
VFG035838(gb|WP_000103278),,1,1,
VFG035840(gb|WP_000103276),,1,1,
VFG035850(gb|WP_000103397),,1,1,
VFG036012(gb|WP_000820546),,1,1,
VFG036017(gb|WP_000820552),,1,1,
VFG036018(gb|WP_000820483),,1,1,
VFG036019(gb|WP_000820574),,1,1,
VFG036022(gb|WP_000820595),,1,1,
VFG036023(gb|WP_000820449),,1,1,
VFG036025(gb|WP_000820451),,1,1,
VFG036026(gb|WP_000820483),,1,1,
VFG036027(gb|WP_000820566),,1,1,
